,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
10,ResNet50,100,SelectKBest(k=100),GaussianNB(),0.7845959595959596,0.007469323418006393,0.8561903939991227,0.009220083437839586,0.8398302611319206,0.0076090605208558645,0.8478754002908981,0.004905774426554445
11,ResNet50,100,SelectKBest(k=100),"SVC(C=1, gamma='auto', kernel='linear')",0.847979797979798,0.004590437105870702,0.8486102581813485,0.004285023150075524,0.958308670450504,0.0069230878738519045,0.9001060117746125,0.003127381132718697
12,ResNet50,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=100, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=11),0.8481481481481481,0.0027841473751752757,0.8539267879685779,0.006135309828798169,0.9501816006228289,0.005613928463946437,0.899448881041453,0.0012761547628041814
13,ResNet50,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=100, threshold='1.25*median')",GaussianNB(),0.7838383838383838,0.004378722829508393,0.8677066313982037,0.005131307741191924,0.8231061575055236,0.0064645078382010645,0.8447898965805367,0.0033349375450084286
14,ResNet50,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=100, threshold='1.25*median')","SVC(C=10, gamma='auto', kernel='linear')",0.8518518518518519,0.00824314355040073,0.8548892588028629,0.007693258152053148,0.9548937190934043,0.005479135565074987,0.9021053217547695,0.005167920816696288
15,ResNet50,100,PCA(n_components=100),KNeighborsClassifier(n_neighbors=17),0.8394781144781145,0.005413446192193105,0.850165635929517,0.005029570127165565,0.9413492035431359,0.003686567352876593,0.8934271224613296,0.0034240932265354783
16,ResNet50,100,PCA(n_components=100),GaussianNB(),0.8393097643097643,0.006429345607383274,0.8420910573489927,0.006793707267679528,0.9541866586802602,0.004071386316676661,0.8946189163725794,0.00383116997806247
17,ResNet50,100,PCA(n_components=100),"SVC(C=10, gamma='auto')",0.8697811447811447,0.0029352854838657753,0.8666458290706501,0.003317419436620375,0.9665526939909916,0.0010832877499733673,0.9138726303277178,0.0017563431225729184
18,ResNet50,150,SelectKBest(k=150),KNeighborsClassifier(n_neighbors=11),0.8478114478114478,0.004163051521507844,0.8520254948012639,0.0046487750651725895,0.9525376598581164,0.0019284701521475012,0.8994731622346009,0.0024538749369999026
19,ResNet50,150,SelectKBest(k=150),GaussianNB(),0.7781144781144781,0.0050603159478751275,0.8613201932131197,0.008064037378280773,0.8220465027928159,0.007618110396789228,0.8411654479838335,0.0034172657037909817
20,ResNet50,150,SelectKBest(k=150),"SVC(C=10, gamma='auto', kernel='linear')",0.8534511784511786,0.006278806801000497,0.8552733505468334,0.004542771338158834,0.956895866826672,0.003856116576484778,0.9032330113572954,0.004053367797564822
21,ResNet50,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=150, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=15),0.8510942760942761,0.00478689131586295,0.8555154902006891,0.006820293219201605,0.9526549602031542,0.00474171122590816,0.901443240870543,0.00271231179613792
22,ResNet50,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=150, threshold='1.25*median')",GaussianNB(),0.7778619528619528,0.004903875981020031,0.8679366151151916,0.006731739745618305,0.8129777718619211,0.005402156270727113,0.8395278627518717,0.0032975473511197245
23,ResNet50,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=150, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8551346801346801,0.006227818623937337,0.8553793584705444,0.005723514001863143,0.9596040350764081,0.004242544769262043,0.9044862750855234,0.003915374724403056
24,ResNet50,150,PCA(n_components=150),KNeighborsClassifier(n_neighbors=17),0.8408249158249157,0.004031626267618858,0.8508680815751906,0.00454119478188679,0.9425270598446671,0.0025765991900641378,0.8943452893157217,0.0024248521129377324
25,ResNet50,150,PCA(n_components=150),GaussianNB(),0.8382154882154882,0.010715722950975906,0.8402694711439563,0.00945757965105187,0.9553643070024563,0.003484564884907263,0.8941099355518171,0.006531473856967081
26,ResNet50,150,PCA(n_components=150),"SVC(C=10, gamma='auto')",0.87003367003367,0.004161349190002793,0.8657593794260648,0.0036931516494094685,0.9683194784432885,0.0018002936461724386,0.9141690870824473,0.0026130551061739225
27,ResNet50,200,SelectKBest(k=200),KNeighborsClassifier(n_neighbors=17),0.8466329966329967,0.0027353664662073856,0.8511555957970576,0.0045354501807752055,0.9519479691164552,0.005439039741945381,0.8987105692007569,0.001689655386613586
28,ResNet50,200,SelectKBest(k=200),GaussianNB(),0.7746632996632996,0.005472027933718857,0.8624886605056267,0.007539250094233457,0.8147447642935532,0.008769077899042436,0.8378753776821721,0.004107137398789627
29,ResNet50,200,SelectKBest(k=200),"SVC(C=10, gamma='auto', kernel='linear')",0.8585016835016834,0.005528707701573404,0.8622402264051582,0.003872634163191823,0.9545401542236096,0.003965793639085293,0.9060432123258721,0.00364288429753481
30,ResNet50,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=200, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=11),0.8542087542087542,0.00601483841244102,0.8616304010905658,0.007085536919823406,0.9484155094349827,0.003760214048583099,0.9029179380809097,0.0036005526101186977
31,ResNet50,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=200, threshold='1.25*median')",GaussianNB(),0.7773569023569025,0.00455635306489034,0.8677418500642347,0.00656550919909799,0.8123894676491611,0.004855175301372155,0.8391253688005728,0.0029595604617095317
32,ResNet50,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=200, threshold='1.25*median')","SVC(C=10, gamma='auto', kernel='linear')",0.86010101010101,0.005151900251885287,0.8646339322350602,0.00528041283128763,0.9535974532237145,0.002433602988846082,0.9069299623543732,0.0031912035142222326
33,ResNet50,200,PCA(n_components=200),KNeighborsClassifier(n_neighbors=17),0.84006734006734,0.003238280145062487,0.8511811827289175,0.004403485869425496,0.9407602753923703,0.004423116369543734,0.893714203176516,0.0019941662605999244
34,ResNet50,200,PCA(n_components=200),GaussianNB(),0.8368686868686869,0.012728541970809132,0.8409665043680328,0.011456807117030253,0.9519485930544608,0.004179843060042801,0.8929934921469842,0.007750825744425902
35,ResNet50,200,PCA(n_components=200),"SVC(C=10, gamma='auto')",0.869949494949495,0.004671527584347343,0.8655953394241868,0.0040823224366646265,0.9684368481147713,0.003262746976307299,0.9141268765252099,0.0029906928867639163
