,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
15,VGG19,100,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=100)",KNeighborsClassifier(n_neighbors=27),0.8277777777777777,0.00879377873853221,0.8509654773602815,0.006283061259705363,0.9202679328448591,0.010937143446346963,0.8842188998474967,0.0062214989480982195
16,VGG19,100,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=100)",GaussianNB(),0.7414983164983164,0.009896928253669399,0.8756715748504245,0.010845928229392288,0.7440816360486422,0.0084591884423432,0.8044838824275153,0.0073006121017527735
17,VGG19,100,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=100)","SVC(C=10, gamma='auto')",0.8343434343434343,0.005985316105936414,0.84043692079248,0.004687500905948113,0.9482983477428351,0.005761687096323343,0.8911023870191516,0.003899656294455438
18,VGG19,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=100, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=25),0.8229797979797981,0.007890039161919498,0.8484749503317893,0.004894916271753822,0.9159110430787596,0.008902764085981679,0.8808842491875553,0.005572157404226395
19,VGG19,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=100, threshold='1.25*median')",GaussianNB(),0.726094276094276,0.012686165421185214,0.8760695653578224,0.012441227590107603,0.7185254126483327,0.011792172834217735,0.7894501411037427,0.009945904347419125
20,VGG19,100,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=100, threshold='1.25*median')","SVC(C=10, gamma='auto', kernel='linear')",0.8314814814814813,0.006673762506031912,0.843534267064768,0.0050536051111792655,0.9382878170558306,0.004986078759651578,0.8883839029631453,0.0043208186129525695
21,VGG19,100,PCA(n_components=100),KNeighborsClassifier(n_neighbors=19),0.8185185185185185,0.008123658832622779,0.8500492054005612,0.005400001963914933,0.9059005123917554,0.007300750774814553,0.8770763313164528,0.005582094626148111
22,VGG19,100,PCA(n_components=100),GaussianNB(),0.7162457912457911,0.015423576873635998,0.8395112331467424,0.005221332544099037,0.7453808136290245,0.01997802981001359,0.7895649687630775,0.013443197839831753
23,VGG19,100,PCA(n_components=100),"SVC(C=10, gamma='auto')",0.8372053872053872,0.010300361662269174,0.8415918101610206,0.00791361988003042,0.9513609821061513,0.006440967179917755,0.8931025655276515,0.006527634798762963
24,VGG19,150,SelectKBest(k=150),KNeighborsClassifier(n_neighbors=23),0.8207912457912456,0.00690235690235689,0.8481676757581015,0.006437703445374242,0.912730415105955,0.008179371413145455,0.879229743647401,0.004667992955016518
25,VGG19,150,SelectKBest(k=150),GaussianNB(),0.6920875420875421,0.012717403937550081,0.8803092855061851,0.010468602883278218,0.658815169458096,0.014837169148852752,0.7535341387240192,0.011486638588205395
26,VGG19,150,SelectKBest(k=150),"SVC(C=1, gamma='auto', kernel='linear')",0.8305555555555555,0.007872058192416322,0.8412760296837662,0.006713707339879921,0.9404078890721419,0.0045165270072561855,0.8880720298318193,0.004932923729338056
27,VGG19,150,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=150)",KNeighborsClassifier(n_neighbors=27),0.8256734006734007,0.009595221189618164,0.85449948848586,0.00686690266577295,0.911317472829233,0.010235028006461182,0.8819616666394037,0.006689732611808274
28,VGG19,150,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=150)",GaussianNB(),0.7339225589225589,0.010665351881353828,0.873291809828814,0.01171200627955922,0.7344238383140917,0.009995326002375215,0.797794484928051,0.008047068578668213
29,VGG19,150,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=150)","SVC(C=1, gamma='auto', kernel='linear')",0.838973063973064,0.008615516216783818,0.8487491494647227,0.007278173756639086,0.9427634630223143,0.0036096920108428104,0.8932811290750173,0.005388819147492982
30,VGG19,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=150, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=19),0.8212121212121213,0.010856301798251073,0.8530547104935957,0.005594224300375187,0.905899957780195,0.012826898427228459,0.8786493313167257,0.007924905126443983
31,VGG19,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=150, threshold='1.25*median')",GaussianNB(),0.7153198653198654,0.012855935800584695,0.8769004003264819,0.011534546772709783,0.7000352178340894,0.012691664597557493,0.7784880693186317,0.01052555848130228
32,VGG19,150,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=150, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8359427609427609,0.0042788771135147865,0.8465227375016905,0.0038043764559310173,0.941114117567945,0.00419755639364864,0.891306541040834,0.0027718098504910037
33,VGG19,150,PCA(n_components=150),KNeighborsClassifier(n_neighbors=23),0.8183501683501684,0.008023612117705392,0.8511083669707263,0.0052853469287305445,0.9040162196150858,0.008515752033666814,0.8767460154773234,0.005624924536736544
34,VGG19,150,PCA(n_components=150),GaussianNB(),0.6531144781144781,0.012245666729911335,0.8382603351568605,0.006551255314458486,0.6376186782081332,0.014263355180192429,0.7242570763862293,0.011470540773877312
35,VGG19,150,PCA(n_components=150),"SVC(C=1, gamma='auto', kernel='linear')",0.8374579124579125,0.011453380503195066,0.8473636600775135,0.008867458745231444,0.9424101754582999,0.00693726326624902,0.8923487309519376,0.007329723793779532
36,VGG19,200,SelectKBest(k=200),KNeighborsClassifier(n_neighbors=21),0.8210437710437709,0.011018258080688176,0.8530342265922908,0.006540917835187916,0.9056644558463336,0.01198799510937214,0.8785307008983491,0.00786378371561864
37,VGG19,200,SelectKBest(k=200),GaussianNB(),0.6852693602693603,0.014360180546893031,0.8797985499688641,0.011696067115974497,0.6482162652318866,0.01445429060353857,0.7464000834171391,0.012571842526902273
38,VGG19,200,SelectKBest(k=200),"SVC(C=10, gamma='auto', kernel='linear')",0.8342592592592591,0.006938192267675049,0.8475776167399081,0.007527141983648951,0.9366386795807969,0.0010987183748517823,0.8898662126592332,0.004051312956824999
39,VGG19,200,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=200)",KNeighborsClassifier(n_neighbors=23),0.8184343434343434,0.011156295231145138,0.8553925437950495,0.0072014058186899745,0.8977739278491956,0.012358321438265374,0.8760307835883145,0.007976312618122986
40,VGG19,200,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=200)",GaussianNB(),0.7287878787878788,0.012822824647215961,0.8749639627406246,0.010015242493433203,0.7240601587159634,0.014372539042695823,0.792317284156698,0.01072425269159799
41,VGG19,200,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=200)","SVC(C=1, gamma='auto', kernel='linear')",0.8416666666666666,0.006603319413284558,0.8514152872094704,0.006191838104155458,0.943116057321878,0.004275230179286607,0.8949078409495579,0.004117327604844625
42,VGG19,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=200, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
43,VGG19,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=200, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
44,VGG19,200,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=200, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8382996632996633,0.005046294541185809,0.8478652696553592,0.004492719099755924,0.9429985489975049,0.004875416200042535,0.8928925279276324,0.003263998827195874
45,VGG19,200,PCA(n_components=200),KNeighborsClassifier(n_neighbors=19),0.8172558922558922,0.007084722361111383,0.852696970513089,0.004917616420363709,0.8997764222146888,0.007570593274613114,0.875587303015811,0.004959085930404618
46,VGG19,200,PCA(n_components=200),GaussianNB(),0.6101851851851852,0.00994335439787522,0.8324573276753169,0.006068626040553873,0.569075136694418,0.011083128742473662,0.675993697405406,0.009808888288253341
47,VGG19,200,PCA(n_components=200),"SVC(C=10, gamma='auto', kernel='linear')",0.8403198653198652,0.010057425610265229,0.8522741936957774,0.007442162462798394,0.9394657426838069,0.006704515779341522,0.8937389793114822,0.006552368419901802
